# Razorback Pass battle map setup
# Uses hex grid; fit 1536x1024 image to max width 26 cols (size≈33.4px, rows≈20)
MAP background=scripts/razorback-pass/images/razorback_pass_map.png grid=hex size=33.4 board=26x20

# Heightmap — 0 = low grass, 4 = high ridge.
# Two ridges (north & south), sloping down toward the road in the center.
XHEIGHT_START
4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0
4,4,3,3,3,2,1,1,1,2,3,3,3,3,2,1,1,2,3,3,4,4,4,4,0,0
3,3,2,1,1,1,0,0,0,1,1,2,2,1,1,0,0,1,2,2,3,3,3,3,0,0
2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,2,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0
2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,2,0,0
3,3,2,1,1,1,0,0,0,1,1,2,2,1,1,0,0,1,2,2,3,3,3,3,0,0
4,4,3,3,3,2,1,1,1,2,3,3,3,3,2,1,1,2,3,3,4,4,4,4,0,0
4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0
4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0
4,4,4,4,4,4,3,3,3,3,4,4,6,4,4,3,3,3,4,4,4,4,4,4,0,0
5,4,4,4,4,4,3,3,3,3,4,8,8,8,4,3,3,3,4,4,4,4,4,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XHEIGHT_END
