# Razorback Pass battle map setup
# Uses hex grid; fit 1536x1024 image to max width 26 cols (size≈33.4px, rows≈20)
MAP background=data/scripts/razorback-pass/images/razorback_pass_map.png grid=hex size=33.4 board=26x20

# Heightmap — 0 = low grass, 4 = high ridge.
# Two ridges (north & south), sloping down toward the road in the center.
HEIGHT_START
4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0
4,4,3,3,3,2,1,1,1,2,3,3,3,3,2,1,1,2,3,3,4,4,4,4,0,0
3,3,2,1,1,1,0,0,0,1,1,2,2,1,1,0,0,1,2,2,3,3,3,3,0,0
2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,2,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0
2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,2,0,0
3,3,2,1,1,1,0,0,0,1,1,2,2,1,1,0,0,1,2,2,3,3,3,3,0,0
4,4,3,3,3,2,1,1,1,2,3,3,3,3,2,1,1,2,3,3,4,4,4,4,0,0
4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0
4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0
4,4,4,4,4,4,3,3,3,3,4,4,6,4,4,3,3,3,4,4,4,4,4,4,0,0
5,4,4,4,4,4,3,3,3,3,4,8,8,8,4,3,3,3,4,4,4,4,4,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEIGHT_END

ROADS Z3, Z4, Y4, X4, X5, W5, V5, U5, T5, S5, R5, R6, Q6, P7, P8, O8, N9, N10, K11, J11, I11, I12, H12, H13, G13, G14, E16, D16, A17, A18, B17, C17, F16, F15, M10, L10, O9, Y3, J12, O7, S6, T6, E15
